Array,Physical Raw Capacity (TB),Usable Raw Capacity (TB),Utilized on Raw (TB),Efficiency (Data Reduction),Array Load,Vendor,Model
SACSA043,305.63,224.29,140.77,3.4,80.63,Pure,FA-C60
SRISA003,126.9,93.61,69.51,2.9,59.32,Pure,FA-X50R3
SACSA044,1443.84,905.14,832.43,1,1,Pure,FlashBlade
SACSA041,158.62,120.54,88.52,1,1,Pure,FA-X90R3
CGDSA002,54.67,36.83,9.44,2.1,10.95,Pure,FA-X20R3
sgdsa026,158.63,120.55,63.83,7.4,37.33,Pure,FA-X90R3
PNASA202,28.67,17.2,1.03,2.3,9.3,Pure,FA-X20R3
TIMSA012,158.63,120.55,66.73,2.0,51.16,Pure,FA-X50R3
TIMSA101,0,0,failed,6.6,2.17,Pure,?
TIMSA011,158.63,120.55,55.7,2.7,48.25,Pure,FA-X50R3
PTPSA001,38.38,26.87,19.75,2.3,31.19,Pure,FA-X20R3
SACSA042,158.62,120.54,56.97,6.2,61.73,Pure,FA-X90R3
PNASA201,28.67,17.2,0.03,6.2,7.0,Pure,FA-X20R3
TIMSA100,20.0,11.52,failed,3.7,3.29,Pure,?
SACSA040,158.62,120.54,71.91,1,34.71,Pure,FA-X90R3
SACSA038,213.27,161.58,95.67,5.0,48.16,Pure,FA-X90R3
DUCSA008,38.38,26.83,16.28,2.4,29.23,Pure,?
PNASA102,18.95,13.27,4.77,2.8,16.99,Pure,FA-X20R3
SNISA002,9.48,5.69,1.57,2.0,9.42,Pure,FA-X20R3
PNASA502,18.95,13.27,1.58,2.9,10.75,Pure,FA-X20R3
SGDSA025,624.0,402.48,183.37,1.0,1,Pure,FlashBlade
DUCSA009,305.0,224.29,146.76,1.6,6.26,Pure,FA-C60R3
sacsa045,1054.72,812.78,501.2,1.5,19.48,Pure,FA-C60R3
SGDSA029,158.63,120.55,4.35,3.4,4.79,Pure,FA-X90R3
